recipe number,recipe name,item serial no,item names,item quantity GM
,,7,Mayonnaise,as needed
31,Masala French Fries,1,French fries,100 g
,,2,Chips spice,as needed
,,3,Tomato sauce,as needed
32,Chicken Singara,1,Ready-to-cook chicken,100 g
,,2,Maida wrapper / patti,as needed
,,3,Cooking oil,as needed
33,Mutton Singara,1,Ready-to-cook mutton,80 g
,,2,Maida wrapper / patti,as needed
,,3,Cooking oil,as needed
34,Naga Singara,1,Vegetable + naga mix,10 g
,,2,Maida wrapper / patti,as needed
,,3,Cooking oil,as needed
35,Garlic Chicken Fried Rice,1,Rice,100 g
,,2,Chicken,100 g
,,3,Egg,2 pcs
,,4,Butter + ginger,15 g
,,5,Salt & pepper,10 g
36,Seafood Rice Bowl,1,Rice,100 g
,,2,Crab,1/2 pc
,,3,Sauce,25 g
,,4,Prawn,2 pcs
,,5,Squid,20 g
,,6,Dory fish,20 g
,,7,Lemongrass,10 g
,,8,Salt + pepper + sauce,20 g
,,9,Cheese,30 g
37,Set Menu 1,1,Rice,100 g
,,2,Vegetables,100 g
,,3,Egg,1 pc
,,4,Masala,60 g
,,5,Chicken,75 g
,,6,Salt & pepper,20 g
38,Signature Seafood Soup,1,Squid,25 g
,,2,Prawn,2 pcs
,,3,Crab,1/2 pc
,,4,Dory fish,20 g
,,5,Salt & pepper,15 g
,,6,Lemon + coriander,5 g
39,Thai Thick Soup,1,Chicken,50 g
,,2,Prawn,2 pcs
,,3,Mushroom,1 pc
,,4,Chili sauce,100 g
,,5,Salt & pepper,5 g
,,6,Lemon juice + lemongrass + coriander,as needed
,,7,Egg,1 pc
40,Cream & Mushroom Soup,1,Mushroom,48 g
,,2,Cream,50 g
,,3,Milk,250 g
,,4,Salt & pepper,10 g
,,5,Butter,5 g
41,Garlic Mushroom,1,Mushroom,1 full can
,,2,Garlic,10 g
,,3,Butter,5 g
,,4,Coriander + salt & pepper,as needed
42,Chili Oil,1,Lemongrass,250 g
,,2,Kashmiri powder,1 packet
,,3,Onion,1000 g
,,4,Salt & pepper,30 g
,,5,Oil,1000 g
,,6,Prawn,100 g
,,7,Sugar,20 g
43,Masala Base,1,Onion,2000 g
,,2,Oil,3000 g
,,3,Kashmiri powder,2 packets
,,4,Curry powder,2 packets
,,5,Garam masala,500 g
44,Green Sauce,1,Coriander,500 g
,,2,Mint leaf,250 g
,,3,Yogurt,250 g
,,4,Sugar,100 g
,,5,Salt,25 g
,,6,C.K. powder,20 g
,,7,Vinegar,100 g
,,8,Oil,300 g
,,9,Lemon,20 g
